"Land";"Nordrhein-Westfalen";"Regionsschlüssel:";"05000000"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
""
"Hinweise:";"Ein Berichtsjahr umfasst jeweils den Berichtszeitraum vom 1. Oktober bis Ende September des Folgejahres. Innerhalb dieses Berichtsjahres handelt es sich um kummulierte Werte."
""
"Berichtsmonat ";"Bewerber/-innen ";"unversorgte Bewerber/-innen ";"Berufsausbildungsstellen ";"betriebliche Berufsausbildungsstellen ";"unbesetzte Berufsausbildungsstellen "
"Januar 2018";"82.970";"56.390";"75.840";"75.610";"56.500"
"Dezember 2017";"74.340";"53.590";"69.270";"69.090";"53.970"
"November 2017";"62.570";"47.990";"60.380";"60.230";"49.800"
"Oktober 2017";"48.770";"40.540";"50.560";"50.490";"45.090"
"September 2017";"136.970";"7.320";"111.210";"107.240";"7.470"
"August 2017";"132.700";"23.650";"106.070";"104.530";"23.170"
"Juli 2017";"127.570";"35.650";"102.600";"101.760";"32.770"
"Juni 2017";"121.990";"45.510";"98.740";"98.170";"40.250"
"Mai 2017";"116.770";"51.340";"95.240";"94.710";"45.410"
"April 2017";"111.350";"56.720";"91.440";"90.930";"50.400"
"März 2017";"104.110";"60.240";"86.500";"86.050";"53.080"
"Februar 2017";"95.870";"61.230";"80.230";"79.810";"53.570"
"Januar 2017";"86.020";"59.360";"72.300";"71.940";"52.010"
"Dezember 2016";"78.140";"56.840";"66.970";"66.660";"51.150"
"November 2016";"65.310";"50.400";"58.860";"58.610";"48.350"
"Oktober 2016";"48.910";"40.910";"49.370";"49.270";"43.870"
"September 2016";"136.420";"6.790";"111.800";"107.520";"6.970"
"August 2016";"131.530";"23.630";"106.640";"104.690";"21.760"
"Juli 2016";"126.410";"34.290";"102.990";"101.850";"30.350"
"Juni 2016";"120.690";"43.620";"99.210";"98.370";"37.180"
"Mai 2016";"115.420";"50.140";"95.740";"94.950";"42.180"
"April 2016";"109.210";"54.890";"91.820";"91.130";"47.050"
"März 2016";"102.730";"58.760";"87.680";"87.020";"51.630"
"Februar 2016";"94.740";"60.100";"82.050";"81.420";"53.360"
"Januar 2016";"85.600";"59.260";"74.340";"73.770";"52.680"
"Dezember 2015";"77.610";"57.160";"68.900";"68.430";"52.490"
"November 2015";"66.450";"51.830";"62.000";"61.620";"50.310"
"Oktober 2015";"50.480";"42.630";"51.720";"51.550";"45.590"
"September 2015";"137.840";"6.700";"111.920";"106.590";"6.040"
"August 2015";"133.530";"23.970";"106.390";"103.920";"21.260"
"Juli 2015";"128.430";"34.840";"102.610";"100.820";"29.380"
"Juni 2015";"122.760";"44.150";"98.740";"97.300";"36.620"
"Mai 2015";"117.620";"51.650";"94.850";"93.450";"42.720"
"April 2015";"111.730";"57.230";"90.770";"89.400";"47.920"
"März 2015";"104.480";"60.850";"86.040";"84.710";"51.240"
"Februar 2015";"95.650";"61.690";"80.190";"78.880";"52.750"
"Januar 2015";"85.530";"60.110";"71.390";"70.200";"50.550"
"Dezember 2014";"78.210";"58.350";"66.450";"65.320";"50.230"
"November 2014";"65.260";"51.540";"59.030";"57.970";"47.620"
"Oktober 2014";"50.620";"43.080";"49.480";"48.710";"43.040"
"September 2014";"141.690";"6.570";"109.400";"104.320";"5.300"
"August 2014";"137.110";"23.760";"104.060";"101.800";"19.670"
"Juli 2014";"131.960";"34.630";"100.910";"99.340";"28.720"
"Juni 2014";"126.670";"46.040";"97.450";"96.150";"36.300"
"Mai 2014";"121.130";"53.450";"94.040";"92.830";"41.790"
""
"Exportdatum: ";"11.05.2025";"15:56:23"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
