"Land";"Nordrhein-Westfalen";"Regionsschlüssel:";"05000000"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
"Rechtskreis";"Insgesamt"
""
""
"Berichtsmonat ";"Bestand Arbeitslose ";"Zugang Arbeitslose ";"Abgang Arbeitslose ";"Arbeitslosenquote "
"Juni 2016";"718.460";"135.450";"142.660";"7,6"
"Mai 2016";"724.810";"130.900";"145.010";"7,7"
"April 2016";"738.040";"134.560";"145.070";"7,9"
"März 2016";"748.050";"135.290";"141.370";"8,0"
"Februar 2016";"753.760";"149.800";"148.500";"8,1"
"Januar 2016";"752.060";"153.990";"119.120";"8,0"
"Dezember 2015";"717.000";"128.390";"126.230";"7,7"
"November 2015";"714.640";"136.040";"145.170";"7,6"
"Oktober 2015";"723.560";"133.940";"141.500";"7,7"
"September 2015";"730.980";"145.230";"164.690";"7,8"
"August 2015";"750.320";"142.910";"153.280";"8,0"
"Juli 2015";"760.470";"139.230";"121.300";"8,1"
"Juni 2015";"742.550";"135.860";"136.770";"7,9"
"Mai 2015";"743.320";"121.210";"131.650";"7,9"
"April 2015";"753.660";"144.460";"150.060";"8,1"
"März 2015";"759.200";"138.110";"146.740";"8,2"
"Februar 2015";"767.630";"141.200";"141.000";"8,3"
"Januar 2015";"767.400";"151.800";"112.320";"8,3"
"Dezember 2014";"727.820";"134.860";"133.320";"7,8"
"November 2014";"726.210";"134.710";"145.000";"7,8"
"Oktober 2014";"736.420";"146.700";"157.210";"7,9"
"September 2014";"746.860";"139.010";"164.830";"8,1"
"August 2014";"772.670";"137.150";"142.040";"8,3"
"Juli 2014";"777.510";"154.170";"137.480";"8,4"
"Juni 2014";"760.800";"124.360";"130.630";"8,2"
"Mai 2014";"767.040";"131.450";"138.680";"8,3"
"April 2014";"774.260";"132.540";"144.570";"8,4"
"März 2014";"786.210";"135.420";"142.660";"8,5"
"Februar 2014";"793.390";"140.300";"136.340";"8,6"
"Januar 2014";"789.380";"155.340";"116.640";"8,6"
"Dezember 2013";"750.670";"131.470";"126.610";"8,1"
"November 2013";"745.700";"129.880";"132.720";"8,1"
"Oktober 2013";"748.530";"146.330";"157.270";"8,1"
"September 2013";"759.500";"142.530";"161.480";"8,2"
"August 2013";"778.390";"158.470";"146.610";"8,4"
"Juli 2013";"766.630";"143.670";"131.250";"8,3"
"Juni 2013";"754.100";"118.620";"127.580";"8,2"
"Mai 2013";"762.930";"130.570";"136.590";"8,3"
"April 2013";"768.940";"130.780";"133.940";"8,4"
"März 2013";"772.060";"135.790";"141.980";"8,5"
"Februar 2013";"778.210";"137.390";"127.030";"8,5"
"Januar 2013";"767.750";"148.980";"102.910";"8,4"
"Dezember 2012";"721.620";"134.500";"126.900";"7,9"
"November 2012";"713.970";"128.060";"132.720";"7,8"
"Oktober 2012";"718.610";"137.450";"142.650";"7,9"
"September 2012";"723.770";"131.550";"157.960";"7,9"
"August 2012";"750.250";"148.250";"145.810";"8,2"
"Juli 2012";"747.770";"146.240";"125.880";"8,2"
"Juni 2012";"727.470";"110.170";"113.060";"8,0"
"Mai 2012";"730.380";"131.770";"145.450";"8,0"
"April 2012";"744.310";"128.760";"125.390";"8,3"
"März 2012";"740.920";"130.160";"134.970";"8,2"
"Februar 2012";"745.680";"141.450";"130.170";"8,3"
"Januar 2012";"734.940";"158.290";"112.210";"8,2"
"Dezember 2011";"686.950";"138.000";"132.310";"7,6"
"November 2011";"681.290";"142.560";"153.240";"7,6"
"Oktober 2011";"691.950";"129.130";"142.190";"7,7"
"September 2011";"705.030";"138.160";"168.570";"7,8"
"August 2011";"735.520";"166.480";"160.200";"8,2"
"Juli 2011";"729.190";"144.450";"136.250";"8,1"
"Juni 2011";"720.900";"137.680";"149.740";"8,0"
"Mai 2011";"732.980";"123.560";"140.400";"8,1"
"April 2011";"749.750";"136.060";"148.960";"8,3"
"März 2011";"762.660";"131.640";"142.320";"8,5"
"Februar 2011";"773.390";"147.750";"150.480";"8,6"
"Januar 2011";"775.980";"169.390";"123.360";"8,6"
"Dezember 2010";"729.940";"144.760";"140.730";"8,1"
"November 2010";"725.840";"148.020";"156.570";"8,1"
"Oktober 2010";"734.350";"145.540";"162.470";"8,2"
"September 2010";"751.180";"146.140";"181.210";"8,3"
"August 2010";"786.230";"169.760";"169.450";"8,7"
"Juli 2010";"786.050";"170.110";"157.350";"8,7"
"Juni 2010";"773.250";"149.100";"158.180";"8,6"
"Mai 2010";"782.310";"143.750";"167.850";"8,7"
"April 2010";"806.420";"159.740";"174.820";"9,0"
"März 2010";"821.450";"144.360";"155.170";"9,1"
"Februar 2010";"832.250";"154.910";"148.420";"9,2"
"Januar 2010";"825.710";"176.660";"129.090";"9,2"
"Dezember 2009";"778.180";"144.830";"142.510";"8,6"
"November 2009";"775.810";"144.450";"151.080";"8,6"
"Oktober 2009";"782.460";"150.050";"166.410";"8,7"
"September 2009";"798.790";"152.740";"180.150";"8,9"
"August 2009";"826.170";"153.750";"155.700";"9,2"
"Juli 2009";"828.110";"172.340";"153.760";"9,2"
"Juni 2009";"809.590";"144.510";"144.950";"9,0"
"Mai 2009";"810.010";"138.700";"148.000";"9,0"
"April 2009";"819.270";"164.250";"149.620";"9,2"
"März 2009";"804.610";"145.270";"133.720";"9,0"
"Februar 2009";"793.080";"151.990";"137.730";"8,9"
"Januar 2009";"778.770";"169.910";"115.150";"8,7"
"Dezember 2008";"723.960";"145.990";"132.740";"8,1"
"November 2008";"710.630";"137.520";"144.560";"7,9"
"Oktober 2008";"717.620";"144.080";"156.190";"8,0"
"September 2008";"729.690";"129.980";"152.480";"8,2"
"August 2008";"752.160";"142.500";"156.370";"8,4"
"Juli 2008";"765.950";"157.860";"143.120";"8,6"
"Juni 2008";"751.180";"121.290";"134.740";"8,4"
"Mai 2008";"764.590";"121.800";"137.210";"8,5"
"April 2008";"779.890";"127.690";"133.470";"8,7"
"März 2008";"785.630";"124.740";"139.530";"8,7"
"Februar 2008";"800.450";"126.710";"131.350";"8,9"
"Januar 2008";"805.110";"149.590";"117.820";"9,0"
"Dezember 2007";"773.300";"122.440";"128.640";"8,6"
"November 2007";"779.460";"129.030";"143.160";"8,7"
"Oktober 2007";"793.530";"136.720";"151.630";"8,8"
"September 2007";"808.350";"130.950";"159.900";"9,0"
"August 2007";"837.250";"133.950";"152.400";"9,3"
"Juli 2007";"855.490";"158.310";"151.610";"9,5"
"Juni 2007";"848.880";"119.630";"133.950";"9,5"
"Mai 2007";"863.180";"112.510";"139.070";"9,6"
""
"Exportdatum: ";"11.05.2025";"15:57:9"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
